ship-postal-code,ship-city,ship-state,ship-country
400081.0,MUMBAI,MAHARASHTRA,IN
560085.0,BENGALURU,KARNATAKA,IN
410210.0,NAVI MUMBAI,MAHARASHTRA,IN
605008.0,PUDUCHERRY,PUDUCHERRY,IN
600073.0,CHENNAI,TAMIL NADU,IN
201102.0,GHAZIABAD,UTTAR PRADESH,IN
160036.0,CHANDIGARH,CHANDIGARH,IN
500032.0,HYDERABAD,TELANGANA,IN
500008.0,HYDERABAD,TELANGANA,IN
600041.0,CHENNAI,TAMIL NADU,IN
201303.0,NOIDA,UTTAR PRADESH,IN
444606.0,AMRAVATI.,MAHARASHTRA,IN
560017.0,BENGALURU,KARNATAKA,IN
620018.0,TIRUCHIRAPPALLI,TAMIL NADU,IN
560040.0,BENGALURU,KARNATAKA,IN
500072.0,HYDERABAD,TELANGANA,IN
411044.0,PUNE,MAHARASHTRA,IN
784001.0,TEZPUR,ASSAM,IN
834002.0,RANCHI,JHARKHAND,IN
495001.0,BILASPUR,CHHATTISGARH,IN
411052.0,PUNE,MAHARASHTRA,IN
560037.0,BENGALURU,KARNATAKA,IN
781003.0,GUWAHATI,ASSAM,IN
613704.0,THIRUVARUR,TAMIL NADU,IN
226010.0,LUCKNOW,UTTAR PRADESH,IN
530016.0,VISAKHAPATNAM,ANDHRA PRADESH,IN
764001.0,JEYPUR,ODISHA,IN
500028.0,HYDERABAD,TELANGANA,IN
226016.0,LUCKNOW,UTTAR PRADESH,IN
600033.0,CHENNAI,TAMIL NADU,IN
110092.0,NEW DELHI,DELHI,IN
695011.0,THIRUVANANTHAPURAM,KERALA,IN
201306.0,GREATER NOIDA,UTTAR PRADESH,IN
482002.0,JABALPUR,MADHYA PRADESH,IN
400092.0,MUMBAI,MAHARASHTRA,IN
226017.0,LUCKNOW,UTTAR PRADESH,IN
400076.0,MUMBAI,MAHARASHTRA,IN
700014.0,KOLKATA,WEST BENGAL,IN
523001.0,ONGOLE,ANDHRA PRADESH,IN
500017.0,SECUNDERABAD,TELANGANA,IN
500062.0,HYDERABAD,TELANGANA,IN
271881.0,KEWALPUR,UTTAR PRADESH,IN
753012.0,CUTTACK,ODISHA,IN
421503.0,BADLAPUR,MAHARASHTRA,IN
797112.0,DIMAPUR,NAGALAND,IN
560047.0,BENGALURU,KARNATAKA,IN
560076.0,BENGALURU,KARNATAKA,IN
506001.0,WARANGAL,TELANGANA,IN
328024.0,DHAULPUR,RAJASTHAN,IN
